time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-13 00:00:00+00:00,2,2,223,66
2023-10-14 00:00:00+00:00,3,3,32,25
2023-10-15 00:00:00+00:00,2,2,110,19
2023-10-16 00:00:00+00:00,5,5,105,42
2023-10-17 00:00:00+00:00,1,1,79,33
2023-10-18 00:00:00+00:00,4,4,88,33
2023-10-19 00:00:00+00:00,6,6,156,38
2023-10-20 00:00:00+00:00,3,3,209,42
2023-10-21 00:00:00+00:00,2,2,69,25
2023-10-22 00:00:00+00:00,3,3,72,22
2023-10-23 00:00:00+00:00,6,6,228,47
2023-10-24 00:00:00+00:00,2,2,157,33
2023-10-25 00:00:00+00:00,3,3,71,39
2023-10-26 00:00:00+00:00,5,5,103,26
2023-10-27 00:00:00+00:00,2,2,62,28
2023-10-28 00:00:00+00:00,4,4,43,12
2023-10-29 00:00:00+00:00,4,4,66,21
2023-10-30 00:00:00+00:00,3,3,48,27
2023-10-31 00:00:00+00:00,3,3,69,24
2023-11-01 00:00:00+00:00,3,3,36,15
2023-11-02 00:00:00+00:00,2,2,48,14
2023-11-03 00:00:00+00:00,6,6,62,24
2023-11-04 00:00:00+00:00,4,4,22,7
2023-11-05 00:00:00+00:00,4,4,27,7
2023-11-06 00:00:00+00:00,6,5,62,24
2023-11-07 00:00:00+00:00,2,2,50,23
2023-11-08 00:00:00+00:00,3,3,106,22
2023-11-09 00:00:00+00:00,2,2,66,22
2023-11-10 00:00:00+00:00,1,1,58,16
2023-11-11 00:00:00+00:00,4,4,26,7
2023-11-12 00:00:00+00:00,2,2,28,10
2023-11-13 00:00:00+00:00,4,4,37,17
2023-11-14 00:00:00+00:00,3,3,82,17
2023-11-15 00:00:00+00:00,2,2,89,20
2023-11-16 00:00:00+00:00,2,2,31,19
2023-11-17 00:00:00+00:00,4,4,67,23
2023-11-18 00:00:00+00:00,1,1,11,8
2023-11-19 00:00:00+00:00,5,4,15,3
2023-11-20 00:00:00+00:00,5,5,37,15
2023-11-21 00:00:00+00:00,2,2,27,14
2023-11-22 00:00:00+00:00,4,3,90,20
2023-11-23 00:00:00+00:00,2,2,210,19
2023-11-24 00:00:00+00:00,3,3,67,18
2023-11-25 00:00:00+00:00,2,2,78,9
2023-11-26 00:00:00+00:00,4,4,20,8
2023-11-27 00:00:00+00:00,6,6,61,20
2023-11-28 00:00:00+00:00,1,1,201,19
2023-11-29 00:00:00+00:00,3,3,27,10
2023-11-30 00:00:00+00:00,3,3,32,8
2023-12-01 00:00:00+00:00,6,6,43,18
2023-12-02 00:00:00+00:00,3,3,42,7
2023-12-03 00:00:00+00:00,3,3,32,10
2023-12-04 00:00:00+00:00,4,4,48,13
2023-12-05 00:00:00+00:00,3,3,77,20
2023-12-06 00:00:00+00:00,4,4,27,12
2023-12-07 00:00:00+00:00,2,2,19,13
2023-12-08 00:00:00+00:00,3,3,22,14
2023-12-09 00:00:00+00:00,5,5,15,11
2023-12-10 00:00:00+00:00,2,2,9,6
2023-12-11 00:00:00+00:00,4,4,23,19
2023-12-12 00:00:00+00:00,4,4,21,14
2023-12-13 00:00:00+00:00,3,3,59,20
2023-12-14 00:00:00+00:00,2,2,37,23
2023-12-15 00:00:00+00:00,3,3,25,14
2023-12-16 00:00:00+00:00,4,4,34,10
2023-12-17 00:00:00+00:00,3,3,10,7
2023-12-18 00:00:00+00:00,4,4,73,21
2023-12-19 00:00:00+00:00,3,3,22,10
2023-12-20 00:00:00+00:00,5,4,28,16
2023-12-21 00:00:00+00:00,4,4,64,36
2023-12-22 00:00:00+00:00,4,4,95,40
2023-12-23 00:00:00+00:00,2,2,59,29
2023-12-24 00:00:00+00:00,5,5,137,29
2023-12-25 00:00:00+00:00,5,5,49,27
2023-12-26 00:00:00+00:00,3,3,128,32
2023-12-27 00:00:00+00:00,3,3,113,36
2023-12-28 00:00:00+00:00,2,2,43,23
2023-12-29 00:00:00+00:00,6,5,19,16
2023-12-30 00:00:00+00:00,5,5,24,10
2023-12-31 00:00:00+00:00,3,3,14,11
2024-01-01 00:00:00+00:00,4,4,23,11
2024-01-02 00:00:00+00:00,2,2,54,27
2024-01-03 00:00:00+00:00,3,3,28,18
2024-01-04 00:00:00+00:00,3,3,37,28
2024-01-05 00:00:00+00:00,4,4,61,28
2024-01-06 00:00:00+00:00,3,3,14,13
2024-01-07 00:00:00+00:00,5,4,16,15
2024-01-08 00:00:00+00:00,3,3,25,19
2024-01-09 00:00:00+00:00,5,5,100,32
2024-01-10 00:00:00+00:00,5,5,96,34
2024-01-11 00:00:00+00:00,3,3,79,32
2024-01-12 00:00:00+00:00,2,2,130,30
2024-01-13 00:00:00+00:00,4,4,31,7
2024-01-14 00:00:00+00:00,3,3,52,14
2024-01-15 00:00:00+00:00,5,5,48,21
2024-01-16 00:00:00+00:00,2,2,43,21
2024-01-17 00:00:00+00:00,4,4,32,18
2024-01-18 00:00:00+00:00,2,2,43,21
2024-01-19 00:00:00+00:00,3,3,39,16
2024-01-20 00:00:00+00:00,2,2,67,14
2024-01-21 00:00:00+00:00,2,2,43,17
2024-01-22 00:00:00+00:00,3,3,41,23
2024-01-23 00:00:00+00:00,2,2,54,22
